filename,width,height,class,xmin,ymin,xmax,ymax
295_75-framed8578.jpg,1280,720,ball,1113,124,1145,160
295_75-framed8149.jpg,1280,720,ball,697,124,723,153
295_75-framed7720.jpg,1280,720,ball,991,375,1034,416
295_75-framed7578.jpg,1280,720,ball,1021,386,1062,424
295_75-framed7435.jpg,1280,720,ball,1015,384,1051,422
295_75-framed7292.jpg,1280,720,ball,1025,384,1066,426
295_75-framed7006.jpg,1280,720,ball,976,388,1012,424
295_75-framed6578.jpg,1280,720,ball,995,296,1036,333
295_75-framed6292.jpg,1280,720,ball,1019,305,1062,343
295_75-framed6149.jpg,1280,720,ball,1032,303,1072,343
295_75-framed6006.jpg,1280,720,ball,1040,303,1081,337
295_75-framed5863.jpg,1280,720,ball,1064,352,1106,390
295_75-framed5720.jpg,1280,720,ball,1066,341,1108,384
295_75-framed5577.jpg,1280,720,ball,1066,350,1102,384
295_75-framed5435.jpg,1280,720,ball,1055,371,1093,407
295_75-framed5006.jpg,1280,720,ball,633,271,665,305
295_75-framed4720.jpg,1280,720,ball,650,305,678,333
295_75-framed4435.jpg,1280,720,ball,629,367,657,399
295_75-framed4292.jpg,1280,720,ball,627,347,648,371
295_75-framed4149.jpg,1280,720,ball,639,311,671,341
295_75-framed3863.jpg,1280,720,ball,614,386,646,416
295_75-framed3577.jpg,1280,720,ball,725,460,752,492
295_75-framed3434.jpg,1280,720,ball,706,463,731,490
295_75-framed3006.jpg,1280,720,ball,697,431,725,456
295_75-framed2863.jpg,1280,720,ball,691,416,718,443
295_75-framed2292.jpg,1280,720,ball,900,475,931,503
295_75-framed2149.jpg,1280,720,ball,458,382,477,405
295_75-framed2006.jpg,1280,720,ball,682,435,708,460
295_75-framed19579.jpg,1280,720,ball,458,504,519,563
295_75-framed18864.jpg,1280,720,ball,358,516,407,584
295_75-framed1863.jpg,1280,720,ball,683,390,714,421
295_75-framed18007.jpg,1280,720,ball,551,338,586,390
295_75-framed17150.jpg,1280,720,ball,303,254,356,317
295_75-framed17007.jpg,1280,720,ball,435,240,502,303
295_75-framed16864.jpg,1280,720,ball,441,175,508,236
295_75-framed16721.jpg,1280,720,ball,529,218,582,293
295_75-framed16150.jpg,1280,720,ball,919,657,1039,720
295_75-framed16007.jpg,1280,720,ball,590,98,657,197
295_75-framed16007.jpg,1280,720,ball,183,33,270,203
295_75-framed16007.jpg,1280,720,ball,624,47,716,220
295_75-framed16007.jpg,1280,720,ball,844,116,984,325
295_75-framed16007.jpg,1280,720,ball,856,596,1009,720
295_75-framed1577.jpg,1280,720,ball,659,327,691,364
295_75-framed15578.jpg,1280,720,ball,697,551,793,663
295_75-framed15292.jpg,1280,720,ball,870,494,962,596
295_75-framed14578.jpg,1280,720,ball,592,502,673,604
295_75-framed14007.jpg,1280,720,ball,760,413,842,496
295_75-framed13578.jpg,1280,720,ball,238,81,307,144
295_75-framed13292.jpg,1280,720,ball,545,291,596,340
295_75-framed13149.jpg,1280,720,ball,567,283,622,340
295_75-framed1291.jpg,1280,720,ball,685,327,722,372
295_75-framed12007.jpg,1280,720,ball,655,360,704,417
295_75-framed11864.jpg,1280,720,ball,639,416,691,467
295_75-framed11721.jpg,1280,720,ball,671,545,726,604
295_75-framed1149.jpg,1280,720,ball,669,343,697,369
295_75-framed11149.jpg,1280,720,ball,657,422,710,480
295_75-framed10864.jpg,1280,720,ball,533,347,578,388
295_75-framed10721.jpg,1280,720,ball,535,340,571,390
295_75-framed10435.jpg,1280,720,ball,411,463,452,503
295_75-framed10292.jpg,1280,720,ball,386,451,435,502
295_75-framed10149.jpg,1280,720,ball,374,484,415,529
295_75-framed1006.jpg,1280,720,ball,671,429,702,458
295_74-framed7754-1.jpg,1280,662,ball,366,411,423,472
295_74-framed7323-1.jpg,1280,662,ball,656,539,727,606
