filename,width,height,class,xmin,ymin,xmax,ymax
36_euro_ball_game_1_n_00037.jpg,800,600,ball,144,145,182,179
36_euro_ball_game_1_n_00036.jpg,800,600,ball,142,147,179,181
36_euro_ball_game_1_n_00026.jpg,800,600,ball,148,169,186,202
36_euro_ball_game_1_n_00012.jpg,800,600,ball,204,182,238,213
36_euro_ball_game_1_m_00881.jpg,800,600,ball,301,201,361,261
36_euro_ball_game_1_m_00861.jpg,800,600,ball,363,237,418,297
36_euro_ball_game_1_m_00839.jpg,800,600,ball,483,296,542,355
36_euro_ball_game_1_m_00833.jpg,800,600,ball,489,302,549,361
36_euro_ball_game_1_m_00805.jpg,800,600,ball,575,378,642,448
36_euro_ball_game_1_m_00805.jpg,800,600,ball,56,191,76,211
36_euro_ball_game_1_m_00762.jpg,800,600,ball,388,368,455,436
36_euro_ball_game_1_m_00756.jpg,800,600,ball,334,348,402,415
36_euro_ball_game_1_m_00755.jpg,800,600,ball,322,343,390,410
36_euro_ball_game_1_m_00750.jpg,800,600,ball,273,327,340,395
36_euro_ball_game_1_m_00714.jpg,800,600,ball,29,214,104,285
36_euro_ball_game_1_m_00694.jpg,800,600,ball,37,192,111,261
36_euro_ball_game_1_m_00689.jpg,800,600,ball,56,200,129,269
36_euro_ball_game_1_m_00684.jpg,800,600,ball,88,198,161,269
36_euro_ball_game_1_m_00673.jpg,800,600,ball,199,211,268,279
36_euro_ball_game_1_m_00647.jpg,800,600,ball,416,198,482,263
36_euro_ball_game_1_m_00635.jpg,800,600,ball,441,197,508,262
36_euro_ball_game_1_m_00627.jpg,800,600,ball,482,198,549,263
36_euro_ball_game_1_m_00626.jpg,800,600,ball,485,198,553,263
36_euro_ball_game_1_m_00622.jpg,800,600,ball,495,202,563,267
36_euro_ball_game_1_m_00613.jpg,800,600,ball,511,231,578,295
36_euro_ball_game_1_m_00611.jpg,800,600,ball,510,226,576,297
36_euro_ball_game_1_m_00606.jpg,800,600,ball,501,211,569,276
36_euro_ball_game_1_m_00592.jpg,800,600,ball,505,270,571,337
36_euro_ball_game_1_m_00588.jpg,800,600,ball,496,272,563,338
36_euro_ball_game_1_m_00562.jpg,800,600,ball,357,305,423,372
36_euro_ball_game_1_m_00549.jpg,800,600,ball,350,343,413,409
36_euro_ball_game_1_m_00546.jpg,800,600,ball,362,346,427,409
36_euro_ball_game_1_m_00529.jpg,800,600,ball,438,297,496,359
36_euro_ball_game_1_m_00529.jpg,800,600,ball,35,13,58,37
36_euro_ball_game_1_m_00528.jpg,800,600,ball,441,291,500,354
36_euro_ball_game_1_m_00528.jpg,800,600,ball,47,11,70,33
36_euro_ball_game_1_m_00519.jpg,800,600,ball,388,250,444,311
36_euro_ball_game_1_m_00512.jpg,800,600,ball,423,216,479,274
