filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20181003_153059718_BURST026.jpg,3264,1836,ball,1168,638,2181,1619
IMG_20181003_153059718_BURST025.jpg,3264,1836,ball,2144,702,2926,1426
IMG_20181003_153059718_BURST024.jpg,3264,1836,ball,1710,134,2905,1281
IMG_20181003_153059718_BURST022.jpg,3264,1836,ball,407,1013,1533,1838
IMG_20181003_153059718_BURST021.jpg,3264,1836,ball,1308,1533,2272,1838
IMG_20181003_153059718_BURST020.jpg,3264,1836,ball,1142,0,2037,273
IMG_20181003_153059718_BURST019.jpg,3264,1836,ball,1597,724,2289,1410
IMG_20181003_153059718_BURST017.jpg,3264,1836,ball,1184,445,1774,1104
IMG_20181003_153059718_BURST016.jpg,3264,1836,ball,1651,745,2535,1560
IMG_20181003_153059718_BURST015.jpg,3264,1836,ball,1302,332,2074,1120
IMG_20181003_153059718_BURST014.jpg,3264,1836,ball,1367,718,2128,1415
IMG_20181003_153059718_BURST012.jpg,3264,1836,ball,1554,890,2766,1838
IMG_20181003_153059718_BURST011.jpg,3264,1836,ball,0,1115,1147,1838
IMG_20181003_153059718_BURST010.jpg,3264,1836,ball,1774,0,2546,515
IMG_20181003_153059718_BURST009.jpg,3264,1836,ball,1774,713,2321,1260
IMG_20181003_153059718_BURST008.jpg,3264,1836,ball,1436,815,2144,1431
IMG_20181003_153059718_BURST007.jpg,3264,1836,ball,1356,890,1999,1485
IMG_20181003_153059718_BURST006.jpg,3264,1836,ball,1549,0,2530,386
IMG_20181003_153059718_BURST005.jpg,3264,1836,ball,933,713,1661,1404
IMG_20181003_153059718_BURST004.jpg,3264,1836,ball,1779,504,2369,1083
IMG_20181003_153059718_BURST003.jpg,3264,1836,ball,1635,573,2374,1286
IMG_20181003_153059718_BURST002.jpg,3264,1836,ball,718,697,1436,1372
IMG_20181003_153059718_BURST001.jpg,3264,1836,ball,740,557,1442,1276
IMG_20181003_153059718_BURST000_COVER.jpg,3264,1836,ball,713,525,1447,1222
IMG_20181003_153043498_BURST015.jpg,3264,1836,ball,1345,552,1988,1233
IMG_20181003_153043498_BURST014.jpg,3264,1836,ball,1260,370,1865,970
IMG_20181003_153043498_BURST013.jpg,3264,1836,ball,1281,289,1946,1029
IMG_20181003_153043498_BURST012.jpg,3264,1836,ball,1254,413,1924,1061
IMG_20181003_153043498_BURST011.jpg,3264,1836,ball,1420,461,2069,1093
IMG_20181003_153043498_BURST010.jpg,3264,1836,ball,1511,327,2208,1024
IMG_20181003_153043498_BURST009.jpg,3264,1836,ball,1544,488,2256,1190
IMG_20181003_153043498_BURST008.jpg,3264,1836,ball,1560,547,2380,1318
IMG_20181003_153043498_BURST007.jpg,3264,1836,ball,1544,584,2433,1463
IMG_20181003_153043498_BURST006.jpg,3264,1836,ball,1576,734,2674,1790
IMG_20181003_153043498_BURST005.jpg,3264,1836,ball,1619,536,2787,1683
IMG_20181003_153043498_BURST004.jpg,3264,1836,ball,1758,332,2953,1463
IMG_20181003_153043498_BURST003.jpg,3264,1836,ball,1694,482,2707,1495
IMG_20181003_153043498_BURST002.jpg,3264,1836,ball,1393,263,2240,1126
IMG_20181003_153043498_BURST001.jpg,3264,1836,ball,1404,102,2289,943
IMG_20181003_153043498_BURST000_COVER.jpg,3264,1836,ball,1345,129,2262,1029
IMG_20181003_153009067_BURST009.jpg,3264,1836,ball,1367,370,2192,1222
IMG_20181003_153009067_BURST008.jpg,3264,1836,ball,1308,257,2133,1077
IMG_20181003_153009067_BURST007.jpg,3264,1836,ball,1404,43,2214,847
IMG_20181003_153009067_BURST006.jpg,3264,1836,ball,1420,364,2155,1131
IMG_20181003_153009067_BURST005.jpg,3264,1836,ball,1399,477,2144,1179
IMG_20181003_153009067_BURST004.jpg,3264,1836,ball,1661,916,2476,1678
IMG_20181003_153009067_BURST003.jpg,3264,1836,ball,1720,975,2524,1769
IMG_20181003_153009067_BURST002.jpg,3264,1836,ball,1474,1002,2364,1812
IMG_20181003_153009067_BURST001.jpg,3264,1836,ball,1302,1168,2015,1838
IMG_20181003_153009067_BURST000_COVER.jpg,3264,1836,ball,890,654,1742,1474
IMG_20181003_153003093_BURST005.jpg,3264,1836,ball,1656,890,1999,1217
IMG_20181003_153003093_BURST004.jpg,3264,1836,ball,1372,504,1779,890
IMG_20181003_153003093_BURST000_COVER.jpg,3264,1836,ball,1501,836,1779,1147
IMG_20181003_152945215_BURST016.jpg,3264,1836,ball,1522,1067,2080,1629
IMG_20181003_152945215_BURST015.jpg,3264,1836,ball,1109,1120,1822,1833
IMG_20181003_152945215_BURST014.jpg,3264,1836,ball,1168,761,2026,1640
IMG_20181003_152945215_BURST012.jpg,3264,1836,ball,1393,0,1929,477
IMG_20181003_152945215_BURST011.jpg,3264,1836,ball,1704,381,2144,825
IMG_20181003_152945215_BURST010.jpg,3264,1836,ball,1560,161,1854,472
IMG_20181003_152945215_BURST009.jpg,3264,1836,ball,1592,697,1871,954
IMG_20181003_152945215_BURST008.jpg,3264,1836,ball,1388,825,1640,1067
IMG_20181003_152945215_BURST007.jpg,3264,1836,ball,1549,729,1828,1002
IMG_20181003_152945215_BURST006.jpg,3264,1836,ball,1367,230,1672,547
IMG_20181003_152945215_BURST005.jpg,3264,1836,ball,1554,750,1908,1131
IMG_20181003_152945215_BURST004.jpg,3264,1836,ball,1940,1152,2417,1592
IMG_20181003_152945215_BURST003.jpg,3264,1836,ball,2117,815,2599,1324
IMG_20181003_152945215_BURST002.jpg,3264,1836,ball,1560,879,2015,1351
IMG_20181003_152945215_BURST001.jpg,3264,1836,ball,1077,895,1399,1265
IMG_20181003_152945215_BURST000_COVER.jpg,3264,1836,ball,1131,643,1426,986
IMG_20181003_152943181_HDR.jpg,3264,1836,ball,1447,691,1683,943
IMG_20181003_152540513_BURST022.jpg,3264,1836,ball,1211,890,1812,1442
IMG_20181003_152540513_BURST021.jpg,3264,1836,ball,1045,1570,1661,1838
IMG_20181003_152540513_BURST020.jpg,3264,1836,ball,1399,0,1983,611
IMG_20181003_152540513_BURST019.jpg,3264,1836,ball,1420,139,2021,745
IMG_20181003_152540513_BURST018.jpg,3264,1836,ball,1640,113,2326,707
IMG_20181003_152540513_BURST017.jpg,3264,1836,ball,1715,439,2342,1109
IMG_20181003_152540513_BURST016.jpg,3264,1836,ball,1785,777,2760,1640
IMG_20181003_152540513_BURST015.jpg,3264,1836,ball,831,386,2208,1667
IMG_20181003_152540513_BURST014.jpg,3264,1836,ball,745,155,1962,1286
IMG_20181003_152540513_BURST013.jpg,3264,1836,ball,772,204,1913,1292
IMG_20181003_152540513_BURST012.jpg,3264,1836,ball,1115,289,1924,1163
IMG_20181003_152540513_BURST011.jpg,3264,1836,ball,632,0,1420,600
IMG_20181003_152400696_BURST018.jpg,3264,1836,ball,1227,273,2224,1233
IMG_20181003_152400696_BURST017.jpg,3264,1836,ball,1008,525,2047,1517
IMG_20181003_152400696_BURST016.jpg,3264,1836,ball,1002,632,2010,1597
IMG_20181003_152400696_BURST015.jpg,3264,1836,ball,1308,809,2331,1785
